Weight Height Age Circumference
67.3 175.3 32 79.1
77.7 175.9 27 85.8
76.6 177.8 19 79.7
85 182.9 43 86.1
102.5 177.8 28 113.2
77.3 184.2 39 79.5
71.8 179.1 30 85.4
87.9 176.5 36 97.9
94.3 188 48 94.7
70.9 174 48 86.1
64.5 167.6 53 84.9
72.3 167.6 39 83.7
87.3 188 43 97.8
80 174 65 98.6
82.3 176.5 45 89.5
73.6 180.3 37 82.9
74.1 167.6 55 90.1
85.9 188 33 78.9
73.2 180.3 25 80.7
76.3 167.6 35 94.3
65.9 183 28 70.2
90.9 183 26 83.6
89.1 179.1 43 91.9
62.3 170.2 30 71.8
82.7 177.8 26 85
79.1 179.1 51 85.7
84.1 177.8 24 82.4
83.2 180.3 35 86.3
59 167.5 20 61.5
63 157 25 78
59 170 23 66.5
47.6 159.1 26 58
69.8 166 22 74.5
75.2 160.2 40 90.5
55.2 172.5 32 66.5
62.5 172.9 25 69.5
42 153.4 29 62
50 160 22 63.4
49.2 168.2 23 59
73.2 175 37 74
68.8 167.6 23 75
50.6 159.5 25 65
57.2 166.8 24 70.2
87.8 176.5 29 85
72.8 170.2 22 75
54.5 174 30 63
59.8 173 23 70
67.3 179.9 38 72.6
47 160 19 61
46.2 154.4 46 64.2
55 162 20 63.1
83 176.5 22 85
54.4 160 25 66
45.8 152 21 65
53.6 162.1 23 63.2
52.1 160.2 29 68
67.9 161.3 19 75.7
56.6 166.4 21 65.5
62.3 168.9 23 66.9
58.5 163.8 24 67.9
54.5 167.6 20 67.8
50.2 160 19 63.2
60.3 161.3 20 73.1
58.3 167.6 19 65.3
56.2 165.1 20 65.6
50.2 160 19 62.7
72.9 170 22 81.8
59.8 157.5 39 72.1
61 167.6 18 68.6
69.1 160.7 19 80
55.9 163.2 26 64.9
46.5 152.4 20 61.7
60 165.5 21 69.5
60.3 164.5 23 69.8
52.7 156 37 69
74.3 160 19 81
62 163 25 71
73.1 165.7 20 73.6
80 161 41 96.3
54.7 162 26 65
75.7 174 47 83
61.1 172.7 19 67.6
55.7 167.6 44 65.4
48.7 151.1 35 61.6
52.3 164.5 32 63.2
50 163.5 46 59.4
59.3 152 22 62.7
62.5 169 49 66.6
55.7 164 52 64.6
54.8 161.2 25 65.7
45.9 155 48 63
69.4 170 30 68.5
64.8 170.3 24 69
71.6 164.1 23 78
52.8 169.5 30 62
59.8 163.2 23 65.8
49 154.5 45 65
50 159.8 20 64.9
69.2 173.2 20 71.5
63.4 161.4 21 75.4
58.2 169 28 67.2
45.7 159.4 24 57.9
52.2 162.5 25 64.4
48.6 159 19 62.3
55.6 159 29 68
66.8 179.8 24 66
59.4 162.9 24 71.2
53.6 161 25 64.8
69 168.9 20 75
58.4 173.2 32 68.6
56.2 171.8 25 67.1
70.6 178 19 68
59.8 164.3 23 71
72 163 22 76
65.2 168.5 20 70.3
56.6 166.8 27 69.5
105.2 172.7 34 101.5
51.8 163.5 25 67.2
63.4 169.4 26 68.7
59 167.8 19 66
47.6 159.5 26 67.5
55.2 161.2 20 64.2
45 160 21 61
54 163.2 18 60.2
50.2 162.2 19 62.6
44.8 149.5 26 58.5
58.8 157.5 36 67.5
56.4 163.2 20 66.1
67.2 156.5 32 90.1
53.8 164 23 64.1
54.4 160.9 20 72.4
58 162.8 20 71
54.8 160 23 66.1
43.2 160 20 59.5
46.4 158.2 23 65
64.4 156 19 71.5
62.2 167.1 19 70
55.5 158 29 70.4
57.8 167.6 32 64.3
54.6 156 20 66
59.2 162.1 28 70.5
52.7 173.4 36 62
53.2 159.8 22 67.6
64.5 170.5 20 65
51.8 159.2 22 64
56 157.5 32 70.5
63.2 162.6 40 71.1
59.5 160 42 74.7
56.8 168.9 40 62.9
50 162.6 30 61.6
72.3 165.1 28 74.2
55 166.4 37 65.5
60.4 152.4 45 72.9
69.1 170.2 35 72.1
84.5 162.6 41 93.4
55.9 170.2 27 60.7
69.5 172.7 24 75.5
76.4 167.6 36 85.6
58.6 156.2 64 73.7
66.8 175.2 21 67.9
56.6 172.1 32 71.2
58.6 162.6 35 69.3
55.9 160 41 75.6
56.8 165.1 24 66
60 177.8 23 68.3
58.2 165.1 41 63.8
72.7 175.3 44 73.6
54.1 154.9 53 76.3
49.1 158.8 19 58.8
75.9 172.7 24 78
55 168.9 25 64.5
55 167.6 34 62.5
65.5 165.1 32 77.5
65.5 175.3 24 70
58.6 163.8 31 68.3
55.2 165.1 36 68.3
62.7 165.1 32 72
56.6 168.9 39 62.7
53.9 162.6 37 58
63.2 164.5 52 72.7
73.6 176.5 24 85.4
62 168.9 33 67.3
63.6 175.3 42 70.8
53.2 159.4 34 67.4
53.4 160 37 66
55 170.2 39 63.6
70.5 162.6 41 71.7
54.5 162.6 19 66.9
55.9 160.7 22 65.5
59 160 23 70.4
47.3 152.4 25 60.4
67.7 170.2 67 75.3
80.9 165.1 26 83.4
70.5 172.7 21 72.2
60.9 165.1 33 70.1
63.6 170.2 25 69.8
54.5 170.2 24 66.4
59.1 170.2 21 61.7
52.7 167.6 27 63.8
62.7 167.6 27 70.2
66.4 162.6 25 75.8
67.3 152.4 44 81.5
63 168.9 29 67.4
73.6 170.2 26 78.3
62.3 175.2 23 65.9
57.7 175.2 32 62.4
55.4 160 32 65.6
104.1 165.1 43 96.2
77.3 170.2 41 80.5
64.5 167.6 28 71.3
61.4 167.6 25 72.3
58.2 154.9 38 67.4
63.6 175.3 25 67
53.4 171.4 37 69.5
54.5 157.5 27 66.4
53.6 165.1 27 67.6
60 160 20 66.6
73.6 174 19 69.7
61.4 162.6 32 72
55.5 174 26 64.5
60.9 161.3 23 69.1
60 156.2 19 74.7
46.8 149.9 31 60.8
64.1 160 34 68.8
63.6 175.3 24 63.7
67.3 169.5 22 71.2
68.2 172.7 30 77.9
61.4 162.6 32 69.6
76.8 157.5 40 86
71.8 176.5 29 69.9
67.3 163.8 38 80.4
